file,variables,constants
vpa/DLSODALIB.f,CM1;CM2;CONIT;CRATE;EL;ELCO;ILS;ILSA;ILSR;ILSS;PDEST;PDLAST;PDNORM;RATIO;RLS;RLSA;RLSR;RLSS;ROWND2;ROWNS;ROWNS2;TSW;ek;es;vk;vs,
vpa/Main.f90,ATOL;CONTR;E;NEQ;RTOL;RW1;angbgd;angdcs;angqpm;angwpm;asydcs;iwork;rwork;scatang;y;ym,
vpa/RICBES.f,ERR;NFP,LIMIT;MAXL;ONE;SMALL;THREE;TWO;ZERO
vpa/VPA-Lib.f90,BL;IFAIL;L;LMAX;R;R1;R2;RJ;RJP;RL;RLmax;RMAX;RMIN;RW;RY;RYP;XMAX;Y;Y0;angwpm,
vpa/arc/VPA-main.f90,ATOL;CONTR;E;NEQ;RTOL;RW1;iwork;rwork;y,
vpa/arc/wparam.f90,ATOL;CONTR;E;NEQ;RTOL;RW1;angdcs;iwork;rwork;scatang;y;ym,
vpa/gfortran.manual.txt,a;b;j;n,
vpa/junk/save/DLSODALIB.f,CM1;CM2;CONIT;CRATE;EL;ELCO;ILS;ILSA;ILSR;ILSS;PDEST;PDLAST;PDNORM;RATIO;RLS;RLSA;RLSR;RLSS;ROWND2;ROWNS;ROWNS2;TSW;ek;es;vk;vs,
vpa/junk/save/Main.f90,ATOL;CONTR;E;NEQ;RTOL;RW1;angbgd;angdcs;angflr;angwpm;asydcs;iwork;rwork;scatang;y;ym,
vpa/junk/save/RICBES.f,ERR;NFP,LIMIT;MAXL;ONE;SMALL;THREE;TWO;ZERO
vpa/junk/save/VPA-Lib.f90,BL;IFAIL;L;LMAX;R;R1;R2;RJ;RJP;RL;RLmax;RMAX;RMIN;RW;RY;RYP;XMAX;Y;Y0;ZL;angbgd;angwpm,
vpa/junk/save2/DLSODALIB.f,CM1;CM2;CONIT;CRATE;EL;ELCO;ILS;ILSA;ILSR;ILSS;PDEST;PDLAST;PDNORM;RATIO;RLS;RLSA;RLSR;RLSS;ROWND2;ROWNS;ROWNS2;TSW;ek;es;vk;vs,
vpa/junk/save2/Main.f90,ATOL;CONTR;E;NEQ;RTOL;RW1;angbgd;angdcs;angwpm;asydcs;iwork;rwork;scatang;y;ym,
vpa/junk/save2/RICBES.f,ERR;NFP,LIMIT;MAXL;ONE;SMALL;THREE;TWO;ZERO
vpa/junk/save2/VPA-Lib.f90,BL;IFAIL;L;LMAX;R;R1;R2;RJ;RJP;RL;RLmax;RMAX;RMIN;RW;RY;RYP;XMAX;Y;Y0;angwpm,
vpa/junk/save3/DLSODALIB.f,CM1;CM2;CONIT;CRATE;EL;ELCO;ILS;ILSA;ILSR;ILSS;PDEST;PDLAST;PDNORM;RATIO;RLS;RLSA;RLSR;RLSS;ROWND2;ROWNS;ROWNS2;TSW;ek;es;vk;vs,
vpa/junk/save3/Main.f90,ATOL;CONTR;E;NEQ;RTOL;RW1;angbgd;angdcs;angqpm;angwpm;asydcs;iwork;rwork;scatang;y;ym,
vpa/junk/save3/RICBES.f,ERR;NFP,LIMIT;MAXL;ONE;SMALL;THREE;TWO;ZERO
vpa/junk/save3/VPA-Lib.f90,BL;IFAIL;L;LMAX;R;R1;R2;RJ;RJP;RL;RLmax;RMAX;RMIN;RW;RY;RYP;XMAX;Y;Y0;angwpm,
vpa/orig.pkgs/VariablePhaseApproximation/VPA-code-modified/code/DLSODALIB.f,CM1;CM2;CONIT;CRATE;EL;ELCO;ILS;ILSA;ILSR;ILSS;PDEST;PDLAST;PDNORM;RATIO;RLS;RLSA;RLSR;RLSS;ROWND2;ROWNS;ROWNS2;TSW;ek;es;vk;vs,
vpa/orig.pkgs/VariablePhaseApproximation/VPA-code-modified/code/RICBES.f,ERR;NFP,LIMIT;MAXL;ONE;SMALL;THREE;TWO;ZERO
vpa/orig.pkgs/VariablePhaseApproximation/VPA-code-modified/code/VPA-Lib.f90,IFAIL;L;LMAX;R;R1;R2;RJ;RJP;RL;RLmax;RMAX;RMIN;RW;RY;RYP;XMAX;Y;Y0,
vpa/orig.pkgs/VariablePhaseApproximation/VPA-code-modified/code/VPA-main.f90,ATOL;CONTR;E;NEQ;RTOL;RW1;iwork;rwork;y,
vpa/orig.pkgs/VariablePhaseApproximation/VPA-code-original/code/DLSODALIB.f,CM1;CM2;CONIT;CRATE;EL;ELCO;ILS;ILSA;ILSR;ILSS;PDEST;PDLAST;PDNORM;RATIO;RLS;RLSA;RLSR;RLSS;ROWND2;ROWNS;ROWNS2;TSW;ek;es;vk;vs,
vpa/orig.pkgs/VariablePhaseApproximation/VPA-code-original/code/RICBES.f,ERR;NFP,LIMIT;MAXL;ONE;SMALL;THREE;TWO;ZERO
vpa/orig.pkgs/VariablePhaseApproximation/VPA-code-original/code/VPA-Lib.f90,IFAIL;L;LMAX;R;R1;R2;RJ;RJP;RL;RLmax;RMAX;RMIN;RW;RY;RYP;XMAX;Y;Y0,
vpa/orig.pkgs/VariablePhaseApproximation/VPA-code-original/code/VPA-main.f90,ATOL;CONTR;E;NEQ;RTOL;RW1;iwork;rwork;y,
